rank,cafe,menu,address
1,Old Oak Tap,BLT,2109 W. Chicago
2,Au Cheval,Fried Bologna,800 W. Randolph
3,Xoco,Woodland Mushroom,445 N. Clark
4,Al’s Deli,Roast Beef,"914 Noyes St.,"
5,Publican Quality Meats,PB&L,825 W. Fulton
6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,100 E.
7,Acadia,Lobster Roll,1639 S. Wabash
8,Birchwood Kitchen,Smoked Salmon Salad,2211 W. North
9,Cemitas Puebla,Atomica Cemitas,3619 W. North
10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,3267 S. Halsted
11,Lula Cafe,Ham and Raclette Panino,2537 N. Kedzie
12,Ricobene’s,Breaded Steak,
13,Frog n Snail,The Hawkeye,3124 N.
14,Crosby’s Kitchen,Chicken Dip,3455 N. Southport
15,Longman & Eagle,Wild Boar Sloppy Joe,2657 N. Kedzie
16,Bari,Meatball Sub,1120 W. Grand
17,Manny’s,Corned Beef,1141 S. Jefferson
18,Eggy’s,Turkey Club,333 E. Benton
19,Old Jerusalem,Falafel,1411 N. Wells
20,Mindy’s HotChocolate,Crab Cake,1747 N. Damen
21,Olga’s Delicatessen,Chicken Schnitzel,3209 W. Irving
22,Dawali Mediterranean Kitchen,Shawarma,
23,Big Jones,Toasted Pimiento Cheese,5347 N. Clark
24,La Pane,Vegetarian Panino,2954 W. Irving Park
25,Pastoral,Cali Chèvre,
26,Max’s Deli,Pastrami,"191 Skokie Valley Rd., Highland"
27,Lucky’s Sandwich Co.,The Fredo,
28,City Provisions,Smoked Ham,1818 W. Wilson
29,Papa’s Cache Sabroso,Jibarito,2517 W. Division
30,Bavette’s Bar & Boeuf,Shaved Prime Rib,218 W.
31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,
32,La Fournette,Tuna Salad,1547 N. Wells
33,Paramount Room,Paramount Reuben,415 N. Milwaukee
34,Melt Sandwich Shoppe,The Istanbul,1840 N. Damen
35,Floriole Cafe & Bakery,B.A.D.,1220 W. Webster
36,First Slice Pie Café,Duck Confit and Mozzarella,5357 N. Ashland
37,Troquet,Croque Monsieur,1834 W. Montrose
38,Grahamwich,Green Garbanzo,615 N. State
39,Saigon Sisters,The Hen House,
40,Rosalia’s Deli,Tuscan Chicken,"241 N. York Rd.,"
41,Z&H MarketCafe,The Marty ,1323 E. 57th
42,Market House on the Square,Whitefish,"655 Forest Ave., Lake"
43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam","Hotel Lincoln, 1816 N. Clark"
44,Marion Street Cheese Market,Cauliflower Melt,"100 S. Marion St., Oak"
45,Cafecito,Cubana,26 E. Congress
46,Chickpea,Kufta,2018 W. Chicago
47,The Goddess and Grocer,Debbie’s Egg Salad,25 E. Delaware
48,Zenwich,Beef Curry,"416 N. York St.,"
49,Toni Patisserie,Le Végétarien,65 E. Washington
50,Phoebe’s Bakery,The Gatsby,3351 N.
