연번,업종명,업소명,소     재     지,전화번호
1,일반음식점,송가네 감자탕, 청주시 서원구 수곡로27번길 42 (수곡동),
2,일반음식점,술고픈 날에는, 청주시 서원구 1순환로1013번길 13 (분평동),
3,일반음식점,남경식당, 청주시 서원구 사직대로302번길 6  1층 (사직동),
4,일반음식점,청정회해물한마당, 청주시 서원구 구룡산로 264  세원청실@상가3동 1층 (수곡동),
5,일반음식점,청춘상회, 청주시 서원구 서원남로57번길 12  지하1층 (모충동),
6,일반음식점,하얀집, 청주시 서원구 용평로94번길 15  1층 (분평동),
7,일반음식점,덕이식당, 청주시 서원구 구룡산로405번길 28 (수곡동),
8,일반음식점,병아리호프, 청주시 서원구 청남로 2152  2층 (모충동),
9,일반음식점,감곡식당 , 청주시 서원구 구룡산로371번길 117 (모충동),
10,일반음식점,로드킹, 청주시 서원구 1순환로672번길 6  2층 (사창동),
11,일반음식점,회색집, 청주시 서원구 1순환로694번길 12 (사창동),
12,일반음식점,참맛돼지, 청주시 서원구 원마루로10번길 13  1층 (분평동),
13,일반음식점,문화주택, 청주시 서원구 1순환로672번길 31  1층 (사창동),
14,일반음식점,웨스턴, 청주시 서원구 무심서로 435  4층 (사직동),
15,일반음식점,모모로, 청주시 서원구 1순환로672번길 25  2층 (사창동),
16,일반음식점,흥부해장국, 청주시 서원구 호국로 55-1 (사직동),
17,일반음식점,교촌치킨, 청주시 서원구 청남로 1992  1층 (분평동),
18,일반음식점,오누이식당, 청주시 서원구 호국로 75  A동 1층 (사직동),
19,일반음식점,다사랑치킨호프, 청주시 서원구 신율로53번길 53  1층 (개신동),
20,일반음식점,뉴욕바닷가재, 청주시 서원구 1순환로 715  1층 (사창동),
21,일반음식점,위(Oui), 청주시 서원구 내수동로114번길 26 (사창동 (지하1층)),
22,일반음식점,명사십리, 청주시 서원구 원마루로8번길 15 (분평동 (1층)),
23,일반음식점,서래갈매기, 청주시 서원구 내수동로108번길 23  1층 (사창동),
24,일반음식점,언니싸롱, 청주시 서원구 원마루로20번길 3 (분평동 (1층)),
25,일반음식점,오듀오(O:duo), 청주시 서원구 1순환로672번길 50 (사창동 (2층)),
26,일반음식점,주먹밥시대 서원점, 청주시 서원구 무심서로 383 (모충동 (1층)),
27,일반음식점,고기다움, 청주시 서원구 서원남로 38 (모충동 (2층)),
28,일반음식점,밥이야기, 청주시 서원구 남이면 대림로 380  1층 (2동),
29,일반음식점,엔젤 슬라임&카페, 청주시 서원구 1순환로1063번길 77  4층 402호 (분평동  라데팡스륀느관),
30,일반음식점,라면국물편의점포차(충북대점), 청주시 서원구 1순환로704번길 78  2층 (사창동),
31,일반음식점,간이역, 청주시 서원구 1순환로1107번길 20 (분평동 외 1필지  114호),
32,일반음식점,용구비어, 청주시 서원구 신율로 49 (개신동 번지  108호),
33,일반음식점,징기스칸치킨 모충점, 청주시 서원구 쌍샘로 98 (모충동 (1층)),
34,일반음식점,대길식당, 청주시 서원구 창신로 34-1 (사창동 (1층)),
35,일반음식점,무이비 포, 청주시 서원구 원흥로100번길 72  1층 (산남동),
36,일반음식점,자담치킨 산남점, 청주시 서원구 두꺼비로78번길 63-1 (산남동 (2층)),
37,일반음식점,장군집, 청주시 서원구 성봉로220번길 156  1동 1층 (개신동),
38,일반음식점,돈황금, 청주시 서원구 장전로 81  1층 104호 (성화동),
39,일반음식점,행복식당, 청주시 서원구 남이면 연청로 1261,
40,일반음식점,리움, 청주시 서원구 두꺼비로94번길 92  1층 (산남동),
41,일반음식점,경성술집 산남점, 청주시 서원구 산남로70번길 17 (산남동 (1층)),
42,일반음식점,피자마루, 청주시 서원구 분평로 21  상가2동 1층 102호 (분평동  현대대우아파트 ),
43,일반음식점,머물고싶은자리, 청주시 서원구 산남로70번길 34 (산남동 미소시티  103호),
44,일반음식점,미소분식, 청주시 서원구 신율로 57 (개신동 (1층)),
45,일반음식점,황제코다리, 청주시 서원구 산남로10번길 18-1  1층 (산남동),
46,일반음식점,설레임, 청주시 서원구 신율로53번길 58 (개신동 (1층)),
47,일반음식점,돈앤덕, 청주시 서원구 원마루로10번길 9  1층 (분평동),
48,일반음식점,복실이식당, 청주시 서원구 매봉로2번길 40 (분평동 (1층)),
49,일반음식점,청담동말자싸롱 서원대점, 청주시 서원구 서원남로 28-2  1층 (모충동),
50,일반음식점,옆집 충대점, 청주시 서원구 내수동로108번길 23  2층 (사창동),
51,일반음식점,가장맛있는족발(산남점), 청주시 서원구 산남로62번길 15  1층 104호  105호 (산남동  두꺼비빌딩),
52,일반음식점,뻘건집, 청주시 서원구 내수동로114번길 42  1층 (사창동),
53,일반음식점,연암곱창 청주산남점, 청주시 서원구 산남로 54  1층 112호  113호 (산남동),
54,일반음식점,장미맨숀, 청주시 서원구 내수동로114번길 41  1층 (사창동),
55,일반음식점,오꾸꼬, 청주시 서원구 창직로 17-2 (사창동 (1층)),
56,일반음식점,구이구이쪽갈비, 청주시 서원구 산남로 68  1층 101호 102호 103호 (산남동  센타프라자),
57,일반음식점,황기순의 칼국수&왕돈까스 청주수곡점, 청주시 서원구 구룡산로 335  1층 (수곡동),
58,일반음식점,청송식당, 청주시 서원구 모충로 153 (사직동 (1층)),
59,일반음식점,코소쿠식당, 청주시 서원구 1순환로674번길 66  1층 (사창동),
60,일반음식점,꼬막태, 청주시 서원구 산남로62번길 25  1층 107호  108호 (산남동),
61,일반음식점,소담골, 청주시 서원구 두꺼비로60번길 25-10  1층 (산남동),
62,일반음식점,할머니손칼국수, 청주시 서원구 두꺼비로38번길 5  1층 (산남동),
63,일반음식점,쿠담, 청주시 서원구 산남로70번길 3 (산남동 (2층) 203호),
64,일반음식점,두꺼비집, 청주시 서원구 산남로62번길 15  1층 101호 (산남동  두꺼비빌딩),
65,일반음식점,오감만족플러스(오감만족+), 청주시 서원구 두꺼비로94번길 72-12  1층 (산남동),
66,일반음식점,중문떡볶이, 청주시 서원구 1순환로672번길 36 (사창동 (1층)),
67,일반음식점,마리웨일(법원점), 청주시 서원구 두꺼비로78번길 53  1층 101호  102호 (산남동),
68,일반음식점,어촌별미, 청주시 서원구 산남로62번길 15 (산남동 외 1필지 116호  117호),
69,일반음식점,노크, 청주시 서원구 서원남로 40-1 (모충동 (1층)),
70,일반음식점,신동궁감자탕뼈숯불구이, 청주시 서원구 성화로 117-1  1층 (죽림동),
71,일반음식점,고봉민김밥인, 청주시 서원구 두꺼비로38번길 44  1층 (산남동),
72,일반음식점,골드포장마차, 청주시 서원구 호국로 72-1 (사직동 외 1필지(1층)),
73,일반음식점,연우, 청주시 서원구 1순환로1013번길 19  2층 (분평동  340-8),
74,일반음식점,샤브쌈주머니사직점, 청주시 서원구 예체로 55  푸르지오캐슬 상가동 2층 206호 207호 (사직동),
75,일반음식점,엄마손, 청주시 서원구 1순환로1063번길 44  1층 (분평동),
76,일반음식점,무쇠판 쪼글이, 청주시 서원구 원흥로80번길 31-3  1층 (산남동),
77,일반음식점,통파이브산남점, 청주시 서원구 산남로70번길 26  1층 109 110호 (산남동),
78,일반음식점,누리막회, 청주시 서원구 원마루로8번길 8-13  1층 (분평동),
79,일반음식점,꼬꼬아찌, 청주시 서원구 산남로70번길 26  1층 107호  108호 (산남동  청주브릭스타워),
80,일반음식점,왱이포차, 청주시 서원구 원마루로8번길 19  1층 (분평동),
81,일반음식점,빨간대문(門), 청주시 서원구 산남로 64 (산남동  엔젤변호사빌딩 102호(1층)),
82,일반음식점,아지트꾼, 청주시 서원구 무심서로 497 (사직동  (2층)),
83,일반음식점,리빙룸(living room), 청주시 서원구 내수동로108번길 51  지하1층 (사창동),
84,일반음식점,해뜨는아구찜, 청주시 서원구 두꺼비로38번길 26  1층 (산남동),
85,일반음식점,이모네 옛날 통닭 닭발, 청주시 서원구 두꺼비로34번길 17  1층 (산남동),
86,일반음식점,미, 청주시 서원구 두꺼비로78번길 21 (산남동  (2층)),
87,일반음식점,사계절고깃집, 청주시 서원구 청남로2005번길 54 (분평동  (1층)),
88,일반음식점,탭플레이 청주사창사거리점, 청주시 서원구 사직대로144번길 12  외 1필지   B동 1층 (사창동),
89,일반음식점,주민상회, 청주시 서원구 1순환로1107번길 10 (분평동  1층),
90,일반음식점,달빛맥주 청주산남점, 청주시 서원구 산남로 22  산남렉슬Ⅱ 1층 109호 (산남동),
91,일반음식점,공계란집.포동포동포차, 청주시 서원구 사운로 92-1  1층 (사직동),
92,일반음식점,한촌설렁탕, 청주시 서원구 1순환로 989  1층 (분평동),
93,일반음식점,갑포, 청주시 서원구 산남로70번길 18 (산남동  102호(1층)),
94,일반음식점,엄마가 뿔났닭, 청주시 서원구 대원로19번길 26  1층 (사직동),
95,일반음식점,피자알볼로(가경점), 청주시 서원구 서부로 1358 (성화동  1층),
96,일반음식점,치코파닭청주1호점, 청주시 서원구 수곡로67번길 23-2  1층 (수곡동),
97,일반음식점,미락, 청주시 서원구 장전로20번길 12 (성화동  단독주택 주건축물제1동(1층)),
98,일반음식점,올레호프, 청주시 서원구 사운로 83 (사직동  나(1층)),
99,일반음식점,옛날통닭, 청주시 서원구 구룡산로 257 (수곡동  (1층)),
100,일반음식점,동그라미, 청주시 서원구 남들로35번길 43 (모충동  (1층)),
101,일반음식점,전이대박, 청주시 서원구 원마루로8번길 8-4 (분평동  (1층)),
102,일반음식점,두릅소한우, 청주시 서원구 산미로 146  빅윈빌딩 1층 103~105호 (산남동),
103,일반음식점,명장복집, 청주시 서원구 산남로70번길 26  청주브릭스타워 2층 201 202호 (산남동),
104,일반음식점,마루벌돌구이(분평점), 청주시 서원구 1순환로 1019-1  가동 1층 (분평동),
